; 8
10.000; 1
1988; 1
1989; 1
1991; 1
1992; 1
68.838; 1
946; 1
956-13-0815-K; 1
A; 43
ACA; 1
AIRE; 1
ALICIA; 1
ANDRES; 2
ANTIGUA; 2
ASLAN; 1
ASUME; 1
AUTENTICO; 1
AVENTURA; 1
Abajo; 5
Abordó; 1
Acebos; 1
Acezando; 1
Acogió; 1
Acudieron; 1
Acuérdate; 1
Acuérdense; 2
Acuéstate; 2
Acá; 1
Además; 4
Adentro; 1
Adiós; 2
Adán; 8
Afortunadamente; 1
Agotados; 1
Agrupados; 1
Aguas; 1
Agárrenlo; 1
Ah; 4
Ahora; 26
Ahí; 2
Al; 36
Alambil; 5
Alcanzaban; 1
Alejémonos; 1
Alfabeta; 1
Algo; 3
Alguien; 4
Algunas; 2
Algunos; 4
Allá; 3
Allí; 15
Alteza; 9
Alto; 1
Alzó; 1
Ambas; 1
Ambos; 2
Amenazaría; 1
Ana; 1
Andando; 1
Anduvieron; 2
Anduvo; 1
Animales; 2
Antaño; 1
Antes; 7
Antigua; 7
Antiguamente; 1
Antiguos; 9
Aparte; 1
Apenas; 1
Aprendió; 2
Apresuraron; 1
Apresuró; 1
Apuesto; 1
Apúrate; 1
Aquí; 7
Aravir; 1
Arboles; 13
Archenland; 2
Ardilla; 1
Ardillas; 1
Arlian; 1
Arranquemos; 1
Arroyo; 4
Aslan; 160
Así; 12
Aten; 1
Atravesando; 1
Atravesaron; 1
Atrás; 1
Aun; 2
Aunque; 3
Av; 1
Avanza; 2
Avanzaron; 1
Aventuras; 1
Ayer; 1
Aún; 1
BELLO; 2
BRUJERÍA; 1
Baco; 11
Bajamos; 1
Bajo; 1
Bassareus; 1
Basta; 1
Bastantes; 1
Batalla; 6
Bebieron; 2
Belisar; 1
Beruna; 17
Bestias; 7
Bien; 7
Bienvenida; 1
Bienvenido; 1
Blanca; 6
Blanco; 1
Bosque; 1
Bosques; 2
Bromios; 1
Bruja; 17
Brujería; 1
Bueno; 18
Busquemos; 1
Búhos; 1
C; 3
C.S; 1
CASA; 1
CASPIAN; 3
CHILE; 2
COMO; 1
CRIATURAS; 1
CRONICAS; 1
Cabalgó; 1
Caballero; 4
Caballeros; 1
Cabeza; 1
Cada; 2
Cadena; 1
Cair; 21
Caliente; 1
Calormen; 2
Camila; 4
Caminaban; 1
Caminar; 1
Caminaron; 1
Caminé; 1
Campo; 2
Campos; 1
Canciller; 1
Caporal; 1
Caramba; 1
Carnero; 1
Casi; 1
Caspian; 229
Castores; 4
Cayó; 1
Cazatrufas; 48
Cenaron; 1
Centauro; 9
Centauros; 5
Centelleó; 1
Cerca; 1
Cerdoso; 1
Cerrada; 1
Chile; 2
Chípicik; 1
Ciega; 1
Cieloverde; 1
Cientos; 1
Ciertamente; 1
Ciervo; 1
Cinco; 1
Clare; 1
Claro; 5
Clodsley; 1
Co; 1
Colina; 1
Collins; 1
Comen; 1
Comentario; 1
Comenzaré; 1
Como; 13
Comprenderás; 1
Con; 14
Conde; 1
Conduce; 1
Conquistador; 2
Consejo; 4
Contempló; 1
Continuaron; 2
Continúa; 2
Contra; 1
Cornelius; 56
Correremos; 1
Correvuela; 11
Corriendo; 1
Corrieron; 1
Creemos; 1
Creer; 1
Creeré; 1
Creo; 19
Creyeron; 1
Creyó; 1
Cristalino; 10
Cruzando; 1
Créame; 1
Crónicas; 1
Cualquiera; 5
Cuando; 31
Cuanto; 1
Cuarto; 1
Cuenta; 1
Cuerno; 12
Cuervo; 2
Cuidado; 2
Cuéntalos; 1
Cuéntanos; 1
Cómo; 1
DE; 3
DEL; 3
